//=========================================================================================================================================
// NHServers Betell Host www.betellhost.com.br
//=========================================================================================================================================
//Index   Message
853     "[QUEST %d] ¡El beneficio ya está activo, realiza la búsqueda más tarde!"
854     "¡ %d monstruos faltan para completar la misión!"
855     "Mission accomplished!"                                                                              
856     "You do not have the patent required!"                                                    
857     "Required %d Kill (s) to continue!"                                                       
858     "Beginning room, leaving %d second (s)"                                                              
859     "You can not access this room! Exit %d second (s)"                                                   
860     "Congratulations, you have already completed this quest!"                                    
861     "Party restricted by %d level of difference"
862	"You do not have permission to use Golden Archer!"
863	"Come back when you have at least %d %s!"
864	"Now you can not join Gens, please wait %d minutes"
865	"You gens block ended. Now you can join Gens"
866	"OffTrade disabled on this map"
867	"You're at maximum level"
870 	"You do not have enough wCoinC!"
871 	"You don't have enough Zen"
872	"You account level small"
873	"It was not possible to carry out teleportation"
874	"You must be at least %d Zen"
875     "The character is pk and can not use"
876     "You are pk and can not use"
877     "You are pk and can not use"
878     "Ruud"
880     "Prepare for [%s] Event. %d minute(s) left to start!"
918     "Welcome, you have received a gift."
963 	"[CTC] The operation is too fast, please wait"
964 	"[CTC] Only allowed to buy more %d (times/day)"
965 	"[CTC] Not enough %d Coin"
966 	"[CTC] Buy Time"
967 	"[CTC] Added %d minutes"
991 	"[EVENT PK ] will close after %d minutes"
992 	"Joining EVENT PK"
993 	"[EVENT PK ] is closed!"
994 	"[EVENT PK ] starts after %d minutes"
995 	"[EVENT PK ] has begun!"
996 	"[EVENT PK ] has ended!"
997 	"[EVENT PK ] You can't join!"
998 	"[EVENT PK ] Not Open!"
999 	"[EVENT PK ] You don't have the required Item to import!"
1035 	"You die %d times"
1036 	"You have killed %d Kill"
1037 	"%s Killed by %s Achieved %d Kill"
1038 	"You cannot enter the EVENT PK while in the party"
1039     "Invasão da Darcness Começou em lorencia!"   
1040     "%s player Matou a Darcnnes!"   
end
